item_type,id,parent_id,title,status,percent_complete,priority,area,depends_on,notes
epic,E1,,Household runtime foundation,in_progress,90,P0,core,,"Core runtime exists with config, planning, approvals, and status surfaces, but not all integrations are live."
story,S1.1,E1,Create household configuration model,done,100,P0,core,,"Implemented in household config and runtime loading; summary command verifies users, rooms, and modes."
story,S1.2,E1,Implement permission engine,done,100,P0,core,S1.1,"Risk classes, approval staging, and second-factor handling are implemented in the runtime."
story,S1.3,E1,Implement request planner,done,100,P0,core,S1.1|S1.2,"Planner returns module, model tier, approval class, and rationale."
story,S1.4,E1,Add local dashboard and API surface,done,100,P1,ui,S1.3,"Dashboard is live on http://127.0.0.1:8787 with status, briefing, approvals, activity, and command surfaces."
story,S1.5,E1,Add audit and activity persistence,done,100,P1,core,S1.2|S1.3,"Approval queue and activity logging persist across runtime actions."
epic,E2,,"Voice, OpenAI routing, and operator shell",in_progress,90,P0,voice,,"Epic 2 now has a runtime-backed voice shell, OpenClaw bridge envelope, realtime transcription boot path, and config-backed wake-word and context inference. Remaining work is production hardening rather than missing core slices."
story,S2.1,E2,Add OpenAI model routing config,done,100,P0,openai,,"Text, router, and realtime models are configured as gpt-5.4-mini, gpt-5.4-nano, and gpt-realtime-1.5."
story,S2.2,E2,Build local morning briefing command,done,100,P1,voice,S2.1,"CLI briefing flow works and dashboard briefing endpoints are present."
story,S2.3,E2,Define OpenClaw bridge seam,done,100,P1,openclaw,S2.1,"Added a serializable OpenClaw bridge envelope and CLI export path while keeping household policy in Python."
story,S2.4,E2,Build one-shot greeting demo,done,100,P1,voice,S2.1,"apex_hello.py successfully loads env, calls OpenAI, synthesizes ElevenLabs speech, and plays local audio."
story,S2.5,E2,Build interactive listen/respond/speak prototype,done,100,P0,voice,S2.4,"apex_hello.py now supports loop mode, text-input mode, device listing, and speech playback."
story,S2.6,E2,Upgrade prototype to realtime streaming voice session,done,100,P0,voice,S2.5,"Added OpenAI Realtime transcription session support with server-side VAD and verified that the session boots successfully."
story,S2.7,E2,Add wake word, room inference, and speaker identification,done,100,P0,voice,S2.6,"Added config-backed wake-word detection plus heuristic speaker and room inference using transcript content and input-device context."
epic,E3,,Executive work and Chronicle assistance,done,100,P1,executive,,"Epic 3 now has structured executive workstreams, meeting-prep and follow-up commands, Chronicle/devotional hooks, confidentiality review, and evidence-tiered research summaries."
story,S3.1,E3,Add executive work mode planner,done,100,P1,executive,S1.3,"Planner now distinguishes executive workstreams such as meeting-prep, meeting-followup, manuscript-editing, research-summary, and confidentiality-filter."
story,S3.2,E3,Add meeting prep and follow-up surfaces,done,100,P1,executive,S3.1,"Added meeting-brief and meeting-followup commands backed by structured executive prompts."
story,S3.3,E3,Add Chronicle and devotional mode hooks,done,100,P1,faith,S1.3,"Added devotional-pause, chronicle-capture, and chronicle-timeline flows with local Chronicle storage seam."
story,S3.4,E3,Add confidentiality tagging and redaction filters,done,100,P0,executive,S3.1,"Added confidentiality-review with sensitive-term detection, email redaction, and safe-to-share flagging."
story,S3.5,E3,Add cited research summaries and evidence tiers,done,100,P1,executive,S3.1,"Added research-summary flow that organizes findings into A/B/C evidence tiers and explicit uncertainty."
epic,E4,,Family logistics and home modes,done,100,P0,family,,"Epic 4 now has local mode state, manual transitions, family logistics planning, staged message drafts, richer dashboard surfaces, and explicit anomaly/watch outputs."
story,S4.1,E4,Add household mode transitions,done,100,P0,family,S1.1,"Added scheduled mode inference plus manual mode-transition and mode-status commands with persisted state."
story,S4.2,E4,Add family logistics planner,done,100,P0,family,S1.3,"Added family-plan command and API for calm sequencing, conflicts, reminders, and contingency planning."
story,S4.3,E4,Add outbound message drafting guardrails,done,100,P1,family,S1.2,"Added staged message-draft and message-drafts flows that explicitly prepare without sending."
story,S4.4,E4,Add daily household snapshot cards and timeline,done,100,P1,ui,S4.1,"Restarted and verified the richer dashboard surface with active mode, family focus, departure checklist, drafts, and timeline data."
story,S4.5,E4,Add sensor-backed anomaly monitoring,done,100,P0,home,S4.1,"Added explicit anomaly-watch command and API, backed by household snapshot details and watch-item classification until live sensors are wired."
epic,E5,,Child-safe tutoring,done,100,P1,education,,"Epic 5 now has child boundary enforcement, OpenAI-backed tutoring sessions, persistent parent-visible summaries, and dashboard/API surfaces."
story,S5.1,E5,Add child profile boundaries,done,100,P0,education,S1.2,"Child requests are now policy-gated in the runtime, with forbidden adult modules and blocked topic checks plus explicit denial responses."
story,S5.2,E5,Add tutoring response policy,done,100,P0,education,S5.1,"Added tutoring mode with Socratic coaching, quiz and presentation support, assignment-boundary redirects, and persistent session logging."
story,S5.3,E5,Add parent-visible tutoring summaries,done,100,P1,education,S5.2,"Added parent summary rollups, per-child tutoring sessions, CLI access, and dashboard/API surfaces for recent coaching patterns."
epic,E6,,Workshop and maker copilot,done,100,P1,workshop,,"Epic 6 now has a workshop subsystem with planning, printer status seam, persistent inspections, staged vendor packages, approval gating, and dashboard/API surfaces."
story,S6.1,E6,Add workshop mode planner,done,100,P1,workshop,S1.3,"Added workshop-plan flow with material, safety, and prototype sequencing guidance through CLI, runtime, and browser APIs."
story,S6.2,E6,Add printer status adapter seam,done,100,P0,workshop,S6.1,"Added workshop profile-backed printer status seam plus integration status reporting and dashboard visibility for the simulated Bambu path."
story,S6.3,E6,Add part scanning and visual inspection ingress,done,100,P1,workshop,S6.1,"Added inspect-part flow with persistent inspection storage, diagnosis, material/process recommendations, and optional image-path ingress metadata."
story,S6.4,E6,Add vendor-prep approval flow,done,100,P1,workshop,S1.2|S6.1,"Added vendor-prep staging with approval queue creation, persistent package storage, and dashboard/API surfaces for review."
blocker,BL-001,E4,Home Assistant credentials are not configured,blocked,0,P0,home,,"Runtime status explicitly reports missing HOME_ASSISTANT_URL or HOME_ASSISTANT_TOKEN."
blocker,BL-002,E4,No live household entity map exists,blocked,0,P0,home,BL-001,"Garage, freezer, lights, locks, and room choreography cannot be automated until real entity names are mapped."
blocker,BL-003,E4,No live calendar or reminder provider is mapped,blocked,0,P1,family,S4.2,"Family logistics now works locally, but calendar-aware planning remains simulated until real sources are connected."
blocker,BL-004,E6,No live Bambu or workshop integration is wired,blocked,0,P1,workshop,S6.2,"Local workshop workflows now exist, but printer telemetry and upload paths are still simulated until a real Bambu or fabrication adapter is connected."
blocker,BL-005,E2,Production speech-to-speech streaming and interruption are not implemented yet,blocked,0,P0,voice,S2.6,"Realtime transcription is live, but the reply path still uses Responses plus ElevenLabs rather than a single full-duplex speech session."
blocker,BL-006,E2,Wake word and speaker/room inference are heuristic rather than ambient-grade,blocked,0,P0,voice,S2.7,"The local layer works from config, device mapping, and transcript cues, but not yet from dedicated wake-word or biometric speaker models."
blocker,BL-008,E2,BMAD and OpenClaw wizard flow is not a reliable primary build path,blocked,0,P2,process,,"The wizard drifts into optional channel setup, so it is useful for structure but not as the main execution engine."
