item_type,id,parent_id,title,status,percent_complete,priority,area,depends_on,notes
epic,E1,,Household runtime foundation,done,100,P0,core,,"Core runtime, config loading, planning, approvals, audit persistence, and manual fallback behavior are now in place."
story,S1.1,E1,Create household configuration model,done,100,P0,core,,"Implemented with users, rooms, modes, and runtime loading."
story,S1.2,E1,Implement permission engine,done,100,P0,core,S1.1,"Risk classes, approval staging, and second-factor logic are implemented."
story,S1.3,E1,Implement request planner,done,100,P0,core,S1.1|S1.2,"Planner returns module, model tier, approval class, and rationale."
story,S1.4,E1,Add audit log and activity persistence,done,100,P1,core,S1.2|S1.3,"Activity and approval records persist in the runtime."
story,S1.5,E1,Define action classes 0 through 6 in code,done,100,P0,core,S1.2,"Permission model is encoded and used by planning flows."
story,S1.6,E1,Add manual fallback behavior for failed AI actions,done,100,P1,core,S1.3,"Added client-side fallback behavior so failed AI requests return useful staged next steps instead of hard-stopping core product flows."
epic,E2,,"Voice, OpenAI routing, and operator shell",done,100,P0,voice,,"Epic 2 is now complete in local product form: runtime-backed voice shell, OpenClaw bridge envelope, realtime transcription boot path, speaker and room inference, interruptible playback, quiet/whisper handling, and local fallback speech."
story,S2.1,E2,Add OpenAI text/router/realtime model config,done,100,P0,openai,,"Configured for gpt-5.4-mini, gpt-5.4-nano, and gpt-realtime-1.5."
story,S2.2,E2,Build local morning briefing command,done,100,P1,voice,S2.1,"CLI and dashboard briefing paths work."
story,S2.3,E2,Define OpenClaw bridge seam,done,100,P1,openclaw,S2.1,"Added a serializable OpenClaw bridge envelope and CLI export path while keeping household policy in Python."
story,S2.4,E2,Build one-shot greeting demo,done,100,P1,voice,S2.1,"OpenAI text and ElevenLabs playback were verified on this machine."
story,S2.5,E2,Build typed conversation loop,done,100,P1,voice,S2.4,"Text-input loop works and uses the same JARVIS response pipeline."
story,S2.6,E2,Build push-to-talk voice loop,done,100,P0,voice,S2.4,"Mic capture, transcription, response, and speech playback are wired in apex_hello.py."
story,S2.7,E2,Upgrade to Realtime API streaming voice session,done,100,P0,voice,S2.6,"Added OpenAI Realtime transcription session support with server-side VAD and verified that the session starts successfully."
story,S2.8,E2,Add wake word detection,done,100,P0,voice,S2.7,"Added config-backed wake-word detection keyed off local voice-context configuration."
story,S2.9,E2,Add speaker identification,done,100,P0,voice,S2.7,"Implemented practical speaker identification from direct-name cues, household context phrases, and input-device mapping; biometric-grade identity remains later hardening."
story,S2.10,E2,Add room inference for commands,done,100,P0,voice,S2.7,"Implemented room inference from device mapping and room mentions inside the request."
story,S2.11,E2,Add interruptible speech output,done,100,P1,voice,S2.7,"Added stoppable playback management and non-blocking realtime reply playback so new turns can cut off prior speech."
story,S2.12,E2,Add quiet mode and whisper handling,done,100,P1,voice,S2.7,"Added quiet and whisper handling through transcript cues and CLI flags, with lower-volume playback and quieter response modes."
story,S2.13,E2,Add local fallback TTS for degraded operation,done,100,P1,voice,S2.6,"Added a local macOS `say` fallback path so speech can still work when ElevenLabs is unavailable."
epic,E3,,House nervous system and home control,done,100,P0,home,,"A live-capable Home Assistant adapter now exists with a profile-backed local control surface for scenes, climate, locks, garage safety, leak monitoring, cold-storage variance monitoring, energy windows, outage posture, CLI flows, and dashboard APIs."
story,S3.1,E3,Add Home Assistant client adapter,done,100,P0,home,S1.3,"Added a live-capable Home Assistant REST adapter with profile-backed local fallback so house control can run before real credentials are wired."
story,S3.2,E3,Map lights scenes and room controls,done,100,P0,home,S3.1,"Added room-scene handling with Kasa-oriented light and outlet entities, scene profiles, persistent local overrides, and dashboard/API access."
story,S3.3,E3,Map thermostat and climate controls,done,100,P0,home,S3.1,"Added Nest-shaped climate entities with staged HVAC mode and target-temperature control through the home subsystem."
story,S3.4,E3,Map lock and door state,done,100,P0,home,S3.1,"Added lock and monitored-door overview plus staged access-control actions for entry-state visibility and night-mode support."
story,S3.5,E3,Map garage state and safe-closing checks,done,100,P0,home,S3.1,"Added MyQ-shaped garage state with safe-close checks for vehicle, interior-door, dog-clear, and motion-clear conditions."
story,S3.6,E3,Add freezer and fridge variance monitoring,done,100,P1,home,S3.1,"Added cold-storage monitoring for freezer and fridge variance with severity, recommended actions, CLI access, dashboard visibility, and API support."
story,S3.7,E3,Add leak sensor monitoring,done,100,P1,home,S3.1,"Added leak-sensor summaries, clear-vs-alert status, and recommended action reporting through the home subsystem."
story,S3.8,E3,Add energy-aware routine timing,done,100,P2,home,S3.1,"Added appliance energy-window recommendations for staged lower-cost timing such as dishwasher and laundry runs."
story,S3.9,E3,Add outage-resilient local automations,done,100,P0,home,S3.1,"Added outage-readiness posture with critical loads, degrade order, manual fallbacks, network segmentation, and remote-access constraints."
epic,E4,,Perception mesh and ambient sensing,done,100,P0,perception,,"Epic 4 now has a dedicated perception subsystem with microphone ingress, room presence, phone presence, workshop and porch or garage camera events, package rules, workshop-object recognition, anomaly logging, privacy-state controls, CLI flows, and dashboard APIs."
